X,Y
-13194562.4423,4034036.2305
-13195013.9338,4033670.6321
-13194993.6149,4033679.1478
-13194973.565,4033695.0383
-13194957.3249,4033704.7444
-13194950.0205,4033719.906
-13194937.2432,4033732.2228
-13194920.845,4033747.0712
-13194912.7754,4033769.1142
-13194898.9942,4033793.1795
-13194894.3299,4033813.218
-13194892.4553,4033833.6863
-13194834.5325,4033838.9945
-13194819.9118,4033826.7244
-13194834.0167,4033858.2423
-13194816.0846,4033848.5319
-13194919.9047,4033641.0881
-13194841.8685,4033640.2757
-13194814.5713,4033694.6525
-13194817.561,4033717.7947
-13194812.1789,4033735.4897
-13194809.5253,4033754.7865
-13194802.6427,4033770.7415
-13194797.9233,4033790.0598
-13194793.6502,4033826.113
-13194810.3978,4033827.7176
-13194606.0646,4033824.2577
-13194600.3198,4033845.0201
-13194595.042,4033884.6714
-13194582.2782,4033880.9204
-13194584.8224,4033949.496
-13194573.5437,4034004.8812
-13194549.827,4034002.7528
-13203833.1719363,4034058.4141363
-13203838.0065798,4034001.16941129
-13203941.6900663,4033981.41346769
-13203915.4266984,4033979.30665645
-13203998.5507661,4033962.85163386
-13203987.0745,4033921.8511
-13203902.9913,4033930.6821
-13203892.8309,4033954.3791
-13203701.2339,4033841.8063
-13203673.2821,4033881.9031
-13204035.6721,4034060.5074
-13204056.1213,4034045.9551
-13204004.1208,4034079.7895
-13203932.1851,4034104.7655
-13203894.456258,4034131.53334276
-13203934.13,4034155.3439
-13203961.3353,4034144.9153
-13194700.5123,4034765.1613
-13194683.1086,4034754.0929
-13194679.3149,4034739.4454
-13194694.9522,4034742.1058
-13194700.2868,4034724.9357
-13194697.2234,4034709.4271
-13194717.8371,4034708.4821
-13194708.8989,4034690.4335
-13194718.5712,4034673.2613
-13194702.6665,4034666.55
-13194694.3261,4034663.9028
-13194746.1467,4034562.515
-13194744.3518,4034540.3434
-13194711.8124,4034560.448
-13194732.8625,4034514.612
-13194749.4362,4034525.9323
-13194575.6748,4033983.2471
-13194560.15,4034056.4325
-13194683.7281,4034859.5978
-13194679.7698,4034832.0038
-13194687.6619,4034814.5732
-13194671.2501,4034809.9891
-13194690.1629,4034798.6243
-13194665.3733,4034786.7016
-13194673.7649,4034780.7316
-13194692.313,4034778.3828
-13194733.047,4034600.9239
-13194710.7661,4034598.6055
-13194728.2792,4034618.0056
-13194708.6674,4034607.4448
-13194696.0578,4034633.2606
-13194727.4849,4034634.524
-13194721.327,4034656.0151
-13194737.4917,4034336.5087
-13194752.5668,4034363.3451
-13194757.3043,4034385.5349
-13194762.1621,4034411.4594
-13194759.0418,4034433.292
-13194763.3365,4034449.9058
-13194758.903,4034468.7407
-13194734.5596,4034458.9801
-13194753.0255,4034488.2128
-13194736.1272,4034479.8245
-13194752.5432767,4034506.20569498
-13194731.5565,4034494.2154
-13194047.3175,4035508.9625
-13194019.752,4035457.3243
-13209015.7857,4034182.6292
-13194742.1745,4034874.972
-13194733.3523,4034856.0023
-13194747.0041,4034848.869
-13194765.2836,4034858.1837
-13194770.1088,4034847.865
-13194752.4394,4034820.8153
-13194751.3886,4034799.5801
-13194752.795,4034779.2772
-13194755.5911,4034754.0595
-13194761.9622,4034729.9687
-13194770.0696,4034710.59
-13194775.1505,4034691.7992
-13194778.7136,4034674.3612
-13194786.0224,4034658.2221
-13194790.6907,4034639.629
-13194790.6188,4034619.0184
-13194793.7493,4034603.5114
-13194793.7227,4034583.2572
-13194801.6703,4034564.8047
-13194807.4055,4034547.4204
-13206635.8178,4034550.0903
-13206669.6544,4034721.881
-13206815.2217,4034781.9809
-13206858.8983,4035038.2614
-13203865.044,4034111.7718
-13203880.981,4034075.39
-13203914.8619,4034055.2173
-13203955.5029,4034042.1591
-13203979.8738,4034027.5521
-13204014.2842,4034015.5848
-13204047.2958,4034001.4502
-13204163.0712,4033939.4555
-13204124.186,4033937.023
-13204085.5013,4033932.4079
-13204053.7695,4033920.3559
-13203781.9272,4033979.5454
-13203775.3145,4033881.7312
-13203564.0747,4033844.164
-13204054.3074105,4034091.18502114
-13204072.8879,4034077.7855
-13204104.1742,4034011.0796
-13204055.6777,4034158.6775
-13204014.2241,4034171.5226
-13204010.6496,4034131.898
-13207479.1457,4034210.3626
-13207461.6702,4034210.1141
-13207441.3928,4034206.1027
-13207424.5313,4034206.3244
-13207415.1433,4034167.402
-13207376.4311,4034193.9969
-13198495.7997,4034433.7551
-13207467.3822,4034172.1918
-13207436.0633,4034171.0243
-13207362.7865,4034164.582
-13194733.5234,4033809.0202
-13194044.9561,4035564.2969
-13194041.3944,4035549.4091
-13194034.4855,4035492.2171
-13194023.6637,4035437.7156
-13194017.6045,4035400.99
-13199243.829,4034923.5478
-13194042.9853,4035529.103
-13194061.968,4035518.2752
-13194033.8436,4035472.9594
-13194020.0828,4035419.923
-13194038.3162,4035410.867
-13207380.3027,4034133.7903
-13207342.2676,4034114.1119
-13207314.9464,4034248.0206
-13199274.5425,4034911.1113
-13204591.4928,4034500.1697
-13204587.1712,4034518.6858
-13199256.7782,4034874.0603
-13194826.259,4033873.3289
-13194823.5343,4033889.8905
-13204535.631,4034520.5875
-13204550.1037,4034530.5844
-13198534.3196,4034430.2017
-13199379.8018,4035242.5381
-13199270.8905,4035234.2288
-13199230.3035,4035184.792
-13199203.7133,4035221.7117
-13198518.2236,4034434.8597
-13204632.7303,4034536.7444
-13204670.1055146,4034539.54115047
-13207335.9002,4034301.0545
-13204945.5054,4034499.4767
-13207298.3387,4034366.156
-13199353.2233,4034844.246
-13199332.8308,4034847.8443
-13199358.1944,4034778.5156
-13198556.4941,4034422.9582
-13198548.6293,4034458.5451
-13198440.2629,4034755.1534
-13198457.2387,4034734.0226
-13198464.5362,4034715.4989
-13198487.8451,4034666.0898
-13198530.3237,4034732.5308
-13198511.2973,4034717.1057
-13198494.6947,4034755.6482
-13198481.351,4034775.8625
-13198456.8071,4034787.974
-13198417.2481,4034810.5919
-13198468.9168,4034687.8912
-13198533.5271,4034633.2407
-13198539.5807,4034659.5376
-13199440.0714,4035109.0516
-13199451.3009,4035083.7323
-13199518.2553,4035104.942
-13199493.3982,4035153.4307
-13199489.7574,4035175.2136
-13199427.5027,4035176.3118
-13199434.1222,4035326.4503
-13199381.5215,4035379.8082
-13199400.7659,4035251.8794
-13199333.5342,4035261.5099
-13199315.421,4035278.7752
-13199307.8213,4035302.2571
-13199305.7114,4035330.0584
-13199308.3825,4035354.5479
-13199308.1798,4035374.1892
-13199246.845,4035376.2519
-13199191.189,4035354.5343
-13199243.8188,4035340.3578
-13207382.3076,4034315.8472
-13207186.8512,4034310.9613
-13207132.3068,4034253.7996
-13199389.6101,4035186.2437
-13199316.7148,4035196.149
-13199284.6624,4035207.4982
-13199259.1146,4035255.9218
-13199251.8605,4035276.8573
-13199244.7832,4035316.9735
-13198532.8022,4034469.85
-13198496.812,4034471.2265
-13204980.2169,4034572.6064
-13204991.4951,4034586.7979
-13205001.5189,4034660.0641
-13198514.7363,4034468.5315
-13199397.4675,4034766.4505
-13199238.5777,4034815.713
-13199255.3979,4034808.6792
-13199275.8247,4034802.1049
-13199297.5667,4034798.425
-13199316.009,4034792.1566
